CUST_ID,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,CUST_RGST,CTPR,OCCP_GRP_1,OCCP_GRP_2,TOTALPREM,MINCRDT,MAXCRDT,WEDD_YN,MATE_OCCP_GRP_1,CHLD_CNT,MAX_PAYM_YM,MAX_PRM,CUST_INCM
1,N,2,47,21111,20,N,199910,충북,3.사무직,사무직,146980441,6,6,Y,3.사무직,2,2008-11-01,319718,4879
2,N,1,53,40000,20,N,199910,서울,3.사무직,사무직,94600109,1,6,Y,1.주부,2,2000-12-01,341341,6509
3,N,1,60,0,99,N,199910,서울,5.서비스,2차산업 종사자,18501269,6,6,N,None,0,2003-05-01,131300,4180
4,N,2,64,12861,40,Y,199910,경기,2.자영업,3차산업 종사자,317223657,2,99,N,None,0,2010-09-01,1493184,3413
5,N,2,54,0,99,Y,199910,광주,2.자영업,3차산업 종사자,10506072,8,8,Y,3.사무직,3,2008-07-01,166760,3894
6,N,1,62,6218,99,N,199910,충남,3.사무직,고위 공무원,22313040,6,6,Y,1.주부,1,2016-06-01,82850,3413
7,Y,2,60,11388,30,N,199910,서울,5.서비스,3차산업 종사자,46522197,6,6,Y,None,1,2009-03-01,482077,3611
8,N,1,57,86527,20,Y,199910,서울,2.자영업,자영업,151085847,6,6,Y,2.자영업,1,2006-10-01,10283415,6465
9,N,1,54,22638,20,N,199910,서울,4.전문직,공무원,3666050,6,6,Y,4.전문직,1,2002-07-01,29,4975
12,N,1,58,37222,20,N,199910,서울,4.전문직,대학교수/강사,135719262,6,8,Y,4.전문직,2,2004-03-01,724768,8780
13,Y,1,63,8140,50,N,199910,경기,6.제조업,운전직,33261687,6,7,Y,5.서비스,0,1998-12-01,483850,3413
15,N,1,59,23055,20,N,199910,서울,3.사무직,사무직,33336919,6,6,Y,1.주부,0,2005-12-01,594075,4362
16,N,2,52,6684,12,N,199910,전북,1.주부,주부,77429702,6,6,Y,3.사무직,0,2013-01-01,2062433,0
17,N,1,68,14027,20,N,199910,대구,5.서비스,2차산업 종사자,10122595,6,6,Y,1.주부,0,2003-05-01,229500,3413
18,N,1,48,33333,20,N,199910,경기,5.서비스,2차산업 종사자,10317997,10,8,Y,3.사무직,4,2013-10-01,458095,5911
19,N,1,64,15833,20,N,199911,경기,2.자영업,자영업,11323581,6,6,Y,1.주부,1,1999-07-01,300000,3413
20,N,1,57,28888,20,N,200003,경기,2.자영업,자영업,52994443,6,6,Y,5.서비스,2,2012-03-01,130000,6024
21,N,2,63,8802,11,N,200011,경북,1.주부,주부,13105235,6,6,Y,None,2,2007-08-01,112749,3413
22,N,2,51,4309,12,Y,200102,경기,2.자영업,3차산업 종사자,56516442,6,99,Y,2.자영업,2,2012-08-01,466370,3825
23,N,1,81,7813,40,N,200102,대구,5.서비스,3차산업 종사자,7282800,6,6,Y,5.서비스,0,2015-08-01,60690,3413
24,N,2,58,1471,11,N,200103,부산,2.자영업,자영업,69535310,6,6,Y,3.사무직,1,2004-09-01,588610,3794
25,N,2,49,30000,20,N,200103,경기,1.주부,주부,50382067,6,99,Y,5.서비스,2,2006-10-01,2191266,0
26,Y,2,55,15555,20,Y,200104,광주,2.자영업,3차산업 종사자,110828477,6,6,Y,2.자영업,2,2001-03-01,1957263,3866
27,N,1,55,36111,20,N,200104,서울,6.제조업,운전직,17240200,6,6,Y,4.전문직,2,2003-01-01,202450,5632
28,N,1,61,17777,20,N,200105,인천,3.사무직,사무직,210810180,2,99,Y,2.자영업,1,2011-08-01,2664440,3413
29,N,2,39,0,99,N,200106,울산,3.사무직,공무원,20961533,8,8,Y,5.서비스,3,2001-05-01,467400,3574
30,N,2,57,4865,30,N,200106,대구,1.주부,주부,11461734,6,6,Y,8.기타,0,2000-10-01,200000,0
31,N,2,54,10683,99,N,200106,부산,2.자영업,자영업,35723494,6,6,Y,None,2,2003-05-01,298100,4688
32,N,2,52,15194,99,Y,200106,서울,1.주부,주부,38109169,6,6,Y,5.서비스,4,2002-08-01,918350,0
33,N,2,47,8888,20,N,200107,경남,8.기타,단순 노무직,16398268,6,6,Y,2.자영업,1,2000-02-01,304417,2858
34,N,2,49,18888,20,N,200107,대구,1.주부,주부,19827388,6,6,Y,5.서비스,2,2004-02-01,101680,0
35,N,1,51,34631,20,N,200107,서울,5.서비스,2차산업 종사자,32935106,6,99,Y,1.주부,2,2009-11-01,434539,5557
36,N,1,47,6569,99,N,200107,전남,7.1차산업,1차산업 종사자,37102242,6,6,N,None,0,2010-09-01,211030,3560
38,N,2,40,13427,40,N,200108,서울,1.주부,주부,39052796,6,6,Y,2.자영업,2,2005-11-01,387659,0
39,N,2,46,8147,40,N,200108,경기,1.주부,주부,28755148,6,8,Y,6.제조업,2,2009-03-01,198400,0
40,N,1,53,7916,20,N,200108,전북,3.사무직,사무직,23070333,6,6,Y,1.주부,2,2015-10-01,239603,4737
